Generation,Best_Pearson_r,Population_Mean_r,Weight_RTT,Weight_UTIL
136,0.7663794384225203,0.7661098321353034,0.5809454832250976,0.4190545167749023
137,0.7663794384225203,0.7660758845853415,0.5809454832250976,0.4190545167749023
138,0.7663794384225203,0.7661477817905347,0.5809454832250976,0.4190545167749023
139,0.7663794384225203,0.766123620378256,0.5809454832250976,0.4190545167749023
140,0.7663794384225203,0.7660748908653154,0.5809454832250976,0.4190545167749023
141,0.7663794384225203,0.7660831180219747,0.5809454832250976,0.4190545167749023
142,0.7663794384225203,0.766047940447207,0.5809454832250976,0.4190545167749023
143,0.7663794384225203,0.7660759755225461,0.5809454832250976,0.4190545167749023
144,0.7663794384225203,0.7660308636970038,0.5809454832250976,0.4190545167749023
145,0.7663794384225203,0.7660817485620615,0.5809454832250976,0.4190545167749023
146,0.7663794384225203,0.7660537374253849,0.5809454832250976,0.4190545167749023
147,0.7663794384225203,0.7661311754427147,0.5809454832250976,0.4190545167749023
148,0.7663794384225203,0.7661276848352163,0.5809454832250976,0.4190545167749023
149,0.7663794384225203,0.7660848389546098,0.5809454832250976,0.4190545167749023
150,0.7663794384225203,0.7661510062350478,0.5809454832250976,0.4190545167749023
151,0.7663794384225203,0.7660641626167148,0.5809454832250976,0.4190545167749023
152,0.7663794384225203,0.7661031335200226,0.5809454832250976,0.4190545167749023
153,0.7663794384225203,0.7661072182880696,0.5809454832250976,0.4190545167749023
154,0.7663794384225203,0.7661042762970419,0.5809454832250976,0.4190545167749023
155,0.7663794384225203,0.7661238539751135,0.5809454832250976,0.4190545167749023
156,0.7663794384225203,0.7660585024469903,0.5809454832250976,0.4190545167749023
157,0.7663794384225203,0.7660725967982259,0.5809454832250976,0.4190545167749023
158,0.7663794384225203,0.7661339354334183,0.5809454832250976,0.4190545167749023
159,0.7663794384225203,0.7661361897253485,0.5809454832250976,0.4190545167749023
160,0.7663794384225203,0.7661260692324248,0.5809454832250976,0.4190545167749023
161,0.7663794384225203,0.7661681513589483,0.5809454832250976,0.4190545167749023
162,0.7663794384225203,0.7660971507602545,0.5809454832250976,0.4190545167749023
163,0.7663794384225203,0.7661859838310023,0.5809454832250976,0.4190545167749023
164,0.7663794384225203,0.7661266043126135,0.5809454832250976,0.4190545167749023
165,0.7663794384225203,0.7660715262864082,0.5809454832250976,0.4190545167749023
166,0.7663794384225203,0.7661449045727036,0.5809454832250976,0.4190545167749023
167,0.7663794384225203,0.766033231938127,0.5809454832250976,0.4190545167749023
168,0.7663794384225203,0.7661000986611899,0.5809454832250976,0.4190545167749023
