Source_Sheet,Source_Excel_Row,RSSI_dBm,Link_Mbps,UTIL_percent,RTT_ms,PacketLoss_percent,Upload_Mbps,Download_Mbps,Actual_Mbps,Is_Congested,State,Environment,RSSI_Score_0_100,GA_Normalized_RTT,GA_Normalized_UTIL,GA_Congestion_Score_0_100,GA_Hybrid_Score_0_100,APQI_raw,APQI_Qualified,APQI_Score_0_100
MOVE_OPEN2_1H_R1,21,-48,1201.0,15,6,0.0,13.8514,61.8657,75.7171,False,정상,RSSI 변화 환경,92.45283018867924,0.9714285714285714,0.8850574712643678,93.52343717859443,92.45283018867924,5.229329049903632,True,73.20854846906923
MOVE_OPEN2_1H_R1,22,-47,1201.0,39,6,0.0,10.8851,62.5252,73.41029999999999,False,정상,RSSI 변화 환경,94.33962264150944,0.9714285714285714,0.6091954022988506,81.96331257790747,94.33962264150944,4.9350845044159355,True,68.39178401758494
MOVE_OPEN2_1H_R1,23,-47,1201.0,41,6,0.0,16.7533,52.9118,69.6651,False,정상,RSSI 변화 환경,94.33962264150944,0.9714285714285714,0.5862068965517242,80.99996886118356,94.33962264150944,5.151457625110988,True,71.93379820953271
MOVE_OPEN2_1H_R1,24,-47,1201.0,36,12,0.0,16.1171,61.7883,77.9054,False,정상,RSSI 변화 환경,94.33962264150944,0.9285714285714286,0.6436781609195402,80.91856179631436,94.33962264150944,5.399520991699934,True,75.99457970650397
MOVE_OPEN2_1H_R1,25,-46,1201.0,19,5,0.0,15.6894,39.6107,55.3001,False,정상,RSSI 변화 환경,96.22641509433963,0.9785714285714285,0.8390804597701149,92.01171080459311,96.22641509433963,6.095945841610934,True,87.395010102322
MOVE_OPEN2_1H_R1,26,-47,1201.0,51,16,0.0,31.9172,55.0866,87.0038,False,정상,RSSI 변화 환경,94.33962264150944,0.9,0.47126436781609193,72.03363968309901,94.33962264150944,5.233696680683552,True,73.28004630649917
MOVE_OPEN2_1H_R1,27,-45,1201.0,9,5,0.0,8.1346,51.7302,59.8648,False,정상,RSSI 변화 환경,98.11320754716981,0.9785714285714285,0.9540229885057472,96.82842938821267,98.11320754716981,6.86595433189041,True,100.0
MOVE_OPEN2_1H_R1,28,-44,1201.0,23,16,0.0,4.3868,59.9241,64.3109,False,정상,RSSI 변화 환경,100.0,0.9,0.7931034482758621,85.5204517172338,100.0,6.183431306317257,True,88.82714158234842
MOVE_OPEN2_1H_R2,2,-44,1201.0,16,17,0.0,5.8557,67.6884,73.5441,False,정상,RSSI 변화 환경,100.0,0.8928571428571429,0.8735632183908046,88.477193666321,100.0,6.631411563573255,True,96.1605498347971
MOVE_OPEN2_1H_R2,3,-73,816.5,33,22,6.6667,18.8699,62.1165,80.9864,True,혼잡,RSSI 변화 환경,45.28301886792453,0.8571428571428572,0.6781609195402298,78.21396677693524,78.21396677693524,4.083834017642179,True,54.45686781648925
MOVE_OPEN2_1H_R2,4,-67,924.75,31,6,0.0,12.155,45.1462,57.3012,False,정상,RSSI 변화 환경,56.60377358490566,0.9714285714285714,0.7011494252873562,85.81668744480312,56.60377358490566,3.5722282462723207,True,46.08191395413609
MOVE_OPEN2_1H_R2,5,-71,888.75,52,6,0.0,6.7052,61.1121,67.8173,False,정상,RSSI 변화 환경,49.056603773584904,0.9714285714285714,0.45977011494252873,75.70157841920204,49.056603773584904,2.5732090982214544,True,29.728034188216178
MOVE_OPEN2_1H_R2,6,-65,960.75,25,20,6.6667,6.8567,55.7032,62.5599,False,정상,RSSI 변화 환경,60.37735849056604,0.8714285714285714,0.7701149425287357,82.8972637627239,60.37735849056604,3.3309508630804445,True,42.132218572767066
MOVE_OPEN2_1H_R2,7,-73,888.75,17,7,0.0,0.4183,64.6461,65.0644,False,정상,RSSI 변화 환경,45.28301886792453,0.9642857142857143,0.8620689655172413,92.14513240242403,45.28301886792453,3.205969666856345,True,40.08628435815509
MOVE_OPEN2_1H_R2,8,-72,888.75,11,15,0.0,11.3301,69.52,80.8501,False,정상,RSSI 변화 환경,47.16981132075472,0.9071428571428571,0.9310344827586207,91.71547507702377,47.16981132075472,3.4091429566393696,True,43.41221815956489
MOVE_OPEN2_1H_R2,9,-83,924.75,18,7,0.0,9.6092,69.4433,79.0525,False,정상,RSSI 변화 환경,26.41509433962264,0.9642857142857143,0.8505747126436781,91.66346054406206,26.41509433962264,2.164508250462668,True,23.037627365166564
MOVE_OPEN2_1H_R2,10,-73,888.75,15,7,3.3333,4.8102,48.8001,53.6103,False,정상,RSSI 변화 환경,45.28301886792453,0.9642857142857143,0.8850574712643678,93.10847611914794,45.28301886792453,2.586819292119669,True,29.95083219467734
MOVE_OPEN2_1H_R2,11,-69,888.75,7,4,6.6667,9.6265,56.0854,65.7119,False,정상,RSSI 변화 환경,52.83018867924528,0.9857142857142858,0.9770114942528736,98.20673416438309,52.83018867924528,3.6278402349558942,True,46.99227866361067
MOVE_OPEN2_1H_R2,12,-71,924.75,9,15,0.0,23.6331,40.3151,63.9482,False,정상,RSSI 변화 환경,49.056603773584904,0.9071428571428571,0.9540229885057472,92.6788187937477,49.056603773584904,3.47989065620931,True,44.57035349134465
MOVE_OPEN2_1H_R2,13,-55,1201.0,7,9,0.0,28.8846,124.9588,153.8434,False,정상,RSSI 변화 환경,79.24528301886792,0.95,0.9770114942528736,96.13192886715059,79.24528301886792,4.787206116353204,True,65.97102423227517
MOVE_OPEN2_1H_R2,15,-50,1201.0,12,8,3.3333,15.7022,168.1681,183.87030000000001,False,정상,RSSI 변화 환경,88.67924528301887,0.9571428571428572,0.9195402298850575,94.13853063478732,88.67924528301887,5.196402784162739,True,72.66954759794692
MOVE_OPEN2_1H_R2,16,-49,1201.0,8,4,0.0,26.7813,164.6582,191.4395,False,정상,RSSI 변화 환경,90.56603773584906,0.9857142857142858,0.9655172413793104,97.72506230602113,90.56603773584906,6.082082001948331,True,87.16805993086777
MOVE_OPEN2_1H_R2,17,-53,1201.0,12,13,0.0,26.1376,158.7664,184.904,False,정상,RSSI 변화 환경,83.01886792452831,0.9214285714285715,0.9195402298850575,92.06372533755483,83.01886792452831,5.690125969300577,True,80.7517646637004
MOVE_OPEN2_1H_R2,18,-51,1201.0,12,8,0.0,24.3345,181.1509,205.4854,False,정상,RSSI 변화 환경,86.79245283018868,0.9571428571428572,0.9195402298850575,94.13853063478732,86.79245283018868,5.816705541422047,True,82.82386418985554
MOVE_OPEN2_1H_R2,19,-49,1201.0,12,5,0.0,13.3548,135.5461,148.9009,False,정상,RSSI 변화 환경,90.56603773584906,0.9785714285714285,0.9195402298850575,95.3834138131268,90.56603773584906,6.012872451278278,True,86.03510399852185
MOVE_OPEN2_1H_R2,20,-49,1201.0,10,5,0.0,15.7139,165.8387,181.55259999999998,False,정상,RSSI 변화 환경,90.56603773584906,0.9785714285714285,0.9425287356321839,96.3467575298507,90.56603773584906,6.263209861553862,True,90.13311144567263
MOVE_OPEN2_1H_R2,21,-50,1201.0,11,6,0.0,37.0462,176.3955,213.4417,False,정상,RSSI 변화 환경,88.67924528301887,0.9714285714285714,0.9310344827586207,95.45012461204226,88.67924528301887,6.181663904770266,True,88.7982093316964
MOVE_OPEN2_1H_R2,22,-51,1201.0,17,4,0.0,19.4769,185.9013,205.3782,False,정상,RSSI 변화 환경,86.79245283018868,0.9857142857142858,0.8620689655172413,93.39001558076352,86.79245283018868,5.735181026068978,True,81.48931307073013
